Name,Speciality,Degree,Year_of_experience,Location,City,dp_score,npv,consultation_fee
Dr. Miten L Pandya,Dentist,BDS,27 Years Experience Overall,"Vidyavihar, Mumbai",Mumbai,97%,(33 votes),₹ 500 fee
Dr. Rahul Pagare,Dentist,BDS,17 Years Experience Overall  (16 years as specialist),"Govandi, Mumbai",Mumbai,98%,(461 votes),₹ 200 fee
Dr. Tarun Motwani,Dentist,BDS,31 Years Experience Overall  (30 years as specialist),"Andheri West, Mumbai",Mumbai,98%,(98 votes),₹ 1000 fee
Dr. NILAM GADA,Dentist,BDS,14 Years Experience Overall  (12 years as specialist),"Grant Road, Mumbai",Mumbai,100%,(69 votes),₹ 300 fee
Dr. Pooja Kukreja,Dentist,BDS,13 Years Experience Overall  (12 years as specialist),"Khar West, Mumbai",Mumbai,100%,(84 votes),₹ 500 fee
Dr. Shilpa Mittal,Dentist,BDS,25 Years Experience Overall  (24 years as specialist),"Kandivali East, Mumbai",Mumbai,98%,(567 votes),₹ 500 fee
Dr. Falguni Shah,Dentist,BDS,32 Years Experience Overall  (30 years as specialist),"Borivali West, Mumbai",Mumbai,98%,(229 votes),₹ 400 fee
Dr. Savneet Kaur,Dentist,BDS,20 Years Experience Overall,"Sion, Mumbai",Mumbai,100%,(79 votes),₹ 500 fee
Dr. Pooja Shetty,Dentist,BDS,9 Years Experience Overall,"Charni Road, Mumbai",Mumbai,100%,(31 votes),₹ 500 fee
Dr. Rohan Patani,Dentist,BDS,9 Years Experience Overall  (8 years as specialist),"Borivali West, Mumbai",Mumbai,99%,(228 votes),₹ 500 fee
Dr. R. K. Mistry,Dentist,BDS,36 Years Experience Overall  (35 years as specialist),"Kemps Corner, Mumbai",Mumbai,100%,(35 votes),₹ 2000 fee
Dr. Jayashree Gupte,Dentist,BDS,35 Years Experience Overall,"Kandivali East, Mumbai",Mumbai,92%,(26 votes),₹ 300 fee
Dr. Nehal Sabadra,Dentist,BDS,27 Years Experience Overall,"Colaba, Mumbai",Mumbai,92%,(26 votes),₹ 1000 fee
Dr. Sonali Dhuri,Dentist,BDS,28 Years Experience Overall,"Goregaon West, Mumbai",Mumbai,92%,(26 votes),₹ 200 fee
Dr. Prashant Shetty,Dentist,BDS,23 Years Experience Overall,"Dahisar West, Mumbai",Mumbai,99%,(154 votes),₹ 200 fee
Dr. Na'ama Attar,Dentist,BDS,17 Years Experience Overall,"Opera House, Mumbai",Mumbai,100%,(65 votes),₹ 350 fee
Dr. Akash S. Bhandari,Dentist,BDS,10 Years Experience Overall  (9 years as specialist),"Colaba, Mumbai",Mumbai,100%,(27 votes),₹ 500 fee
Dr. Mohammed Moin Abdul Rashid Holy,Dentist,BDS,14 Years Experience Overall,"Nagpada, Mumbai",Mumbai,99%,(363 votes),₹ 500 fee
Dr. Nipaj S. Ashar,Dentist,BDS,24 Years Experience Overall,"Matunga, Mumbai",Mumbai,99%,(564 votes),₹ 500 fee
Dr. Mihir Parekh,Dentist,BDS,14 Years Experience Overall  (13 years as specialist),"Charni Road, Mumbai",Mumbai,97%,(149 votes),₹ 300 fee
Dr. Jyotsna Patel,Dentist,BDS,23 Years Experience Overall  (22 years as specialist),"Bhandup West, Mumbai",Mumbai,100%,(57 votes),₹ 400 fee
Dr. Neha Hardasani Thaver,Dentist,BDS,10 Years Experience Overall  (9 years as specialist),"Lokhandwala, Mumbai",Mumbai,100%,(75 votes),₹ 300 fee
Dr. Jayesh G. Mehta,Dentist,BDS,33 Years Experience Overall,"Mulund West, Mumbai",Mumbai,98%,(357 votes),₹ 300 fee
Dr. Siddhi Saijan,Dentist,BDS,13 Years Experience Overall,"Borivali West, Mumbai",Mumbai,99%,(80 votes),₹ 200 fee
Dr. Raadni Bane,Dentist,BDS,9 Years Experience Overall,"Kandivali East, Mumbai",Mumbai,98%,(242 votes),₹ 200 fee
Dr. Faizan Sharif,Dentist,BDS,11 Years Experience Overall  (10 years as specialist),"Andheri West, Mumbai",Mumbai,100%,(19 votes),₹ 300 fee
Dr. Aashiq Shaikh,Dentist,BDS,14 Years Experience Overall  (13 years as specialist),"Bhandup West, Mumbai",Mumbai,100%,(463 votes),₹ 400 fee
Dr. Shweta Vyas,Dentist,BDS,8 Years Experience Overall,"Kandivali West, Mumbai",Mumbai,97%,(63 votes),₹ 250 fee
Dr. Sushma Chavan,Dentist,BDS,15 Years Experience Overall,"Bhandup West, Mumbai",Mumbai,98%,(111 votes),₹ 500 fee
Dr. Julie Davda,Dentist,BDS,17 Years Experience Overall,"Bhandup, Mumbai",Mumbai,96%,(144 votes),₹ 200 fee
Dr. Nilofer M Currawalla,Dentist,BDS,15 Years Experience Overall  (14 years as specialist),"Colaba, Mumbai",Mumbai,100%,(12 votes),₹ 500 fee
Dr. Sharatkumar B Shetty,Dentist,BDS,35 Years Experience Overall,"Powai, Mumbai",Mumbai,100%,(330 votes),₹ 700 fee
Dr. Pragati P Shah,Dentist,BDS,11 Years Experience Overall,"Borivali West, Mumbai",Mumbai,100%,(67 votes),₹ 500 fee
Dr. Tanushree Naik Parekh,Dentist,BDS,13 Years Experience Overall  (11 years as specialist),"Charni Road, Mumbai",Mumbai,97%,(65 votes),₹ 300 fee
Dr. Shruthi,Dentist,BDS,6 Years Experience Overall  (5 years as specialist),"Andheri East, Mumbai",Mumbai,100%,(23 votes),₹ 500 fee
Dr. Amruta Wakde Desai,Dentist,BDS,13 Years Experience Overall,"Dadar West, Mumbai",Mumbai,100%,(32 votes),₹ 200 fee
Dr. Priya A Jain,Dentist,BDS,13 Years Experience Overall,"Ghatkopar East, Mumbai",Mumbai,94%,(33 votes),₹ 200 fee
Dr. Rohanshi,Dentist,BDS,8 Years Experience Overall,"Kandivali West, Mumbai",Mumbai,94%,(33 votes),₹ 200 fee
Dr. Punit Kaur Anand Khalsa,Dentist,BDS,8 Years Experience Overall,"Chembur East, Mumbai",Mumbai,99%,(192 votes),₹ 200 fee
Dr. Rashika Vijan,Dentist,BDS,21 Years Experience Overall  (20 years as specialist),"Khar West, Mumbai",Mumbai,100%,(12 votes),₹ 1250 fee
Dr. Abhijeet Kulkarni,Dentist,BDS,7 Years Experience Overall,"Borivali West, Mumbai",Mumbai,100%,(14 votes),₹ 300 fee
Dr. Abhijeet Kulkarni,Dentist,BDS,7 Years Experience Overall,"Borivali West, Mumbai",Mumbai,100%,(14 votes),₹ 300 fee
Dr. Rajesh Gupta,Dentist,BDS,23 Years Experience Overall,"Mira Bhayandar, Mumbai",Mumbai,100%,(14 votes),₹ 200 fee
Dr. Dattatraya Kamat,Dentist,BDS,38 Years Experience Overall,"Bandra West, Mumbai",Mumbai,100%,(198 votes),₹ 500 fee
Dr. Priyanka Koli,Dentist,BDS,8 Years Experience Overall,"Opera House, Mumbai",Mumbai,100%,(198 votes),₹ 1000 fee
Dr. Rangnath Jhawar,Dentist,BDS,9 Years Experience Overall,"Mira Road, Mumbai",Mumbai,98%,(110 votes),₹ 300 fee
Dr. Gunjan Mehta Thaker,Dentist,BDS,21 Years Experience Overall,"Goregaon East, Mumbai",Mumbai,100%,(86 votes),₹ 500 fee
Dr. Seema Maurya,Dentist,BDS,13 Years Experience Overall,"Khetwadi, Mumbai",Mumbai,100%,(86 votes),₹ 300 fee
Dr. N.K Doctor,Dentist,BDS,51 Years Experience Overall  (23 years as specialist),"Colaba, Mumbai",Mumbai,100%,(86 votes),₹ 1000 fee
Dr. Mansi Singh,Dentist,BDS,3 Years Experience Overall,"Kanjurmarg, Mumbai",Mumbai,100%,(86 votes),₹ 100 fee
Dr. Kavita Maheshwari,Dentist,BDS,23 Years Experience Overall  (21 years as specialist),"Bandra West, Mumbai",Mumbai,100%,(11 votes),₹ 500 fee
Dr. Girish Gaba,Dentist,BDS,17 Years Experience Overall  (16 years as specialist),"Kurla West, Mumbai",Mumbai,99%,(242 votes),₹ 500 fee
Dr. Maya Nair,Dentist,BDS,10 Years Experience Overall,"Mulund West, Mumbai",Mumbai,99%,(414 votes),₹ 500 fee
Dr. Ankita Sanghvi Shetty,Dentist,BDS,15 Years Experience Overall,"Chembur, Mumbai",Mumbai,100%,(16 votes),₹ 300 fee
Dr. Spina Mehta,Dentist,BDS,12 Years Experience Overall,"Charni Road, Mumbai",Mumbai,100%,(79 votes),₹ 300 fee
Dr. Ashutosh Pai,Dentist,BDS,15 Years Experience Overall  (14 years as specialist),"Mahim, Mumbai",Mumbai,100%,(59 votes),₹ 500 fee
Dr. Ami Sukhija,Dentist,BDS,14 Years Experience Overall  (13 years as specialist),"Andheri West, Mumbai",Mumbai,99%,(180 votes),₹ 500 fee
Dr. Pratik Nayak,Dentist,BDS,10 Years Experience Overall,"Ghatkopar West, Mumbai",Mumbai,80%,(15 votes),₹ 100 fee
Dr. Shivani Gupta,Dentist,BDS,15 Years Experience Overall,"Dadar West, Mumbai",Mumbai,80%,(15 votes),₹ 200 fee
Dr. Sonali P. Vanmali,Dentist,BDS,23 Years Experience Overall,"Kandivali East, Mumbai",Mumbai,80%,(15 votes),₹ 200 fee
Dr. Pooja Patel,Dentist,BDS,16 Years Experience Overall  (15 years as specialist),"Santacruz East, Mumbai",Mumbai,100%,(22 votes),₹ 500 fee
Dr. Vishwa Parmar,Dentist,BDS,7 Years Experience Overall,"Borivali West, Mumbai",Mumbai,100%,(22 votes),₹ 200 fee
Dr. Shaili Shah,Dentist,BDS,13 Years Experience Overall,"Khar West, Mumbai",Mumbai,100%,(48 votes),₹ 500 fee
Dr. Nikita Patel,Dentist,BDS,5 Years Experience Overall,"Andheri East, Mumbai",Mumbai,100%,(55 votes),₹ 300 fee
Dr. Jatin Prabhu,Dentist,BDS,22 Years Experience Overall  (19 years as specialist),"Chembur, Mumbai",Mumbai,100%,(55 votes),₹ 500 fee
Dr. Mahika Tekchandani,Dentist,BDS,8 Years Experience Overall,"Khar West, Mumbai",Mumbai,100%,(11 votes),₹ 500 fee
Dr. Dhwani Kapadia,Dentist,BDS,11 Years Experience Overall  (9 years as specialist),"Borivali West, Mumbai",Mumbai,100%,(22 votes),₹ 800 fee
Dr. Srishti Tody,Dentist,BDS,10 Years Experience Overall,"Malad West, Mumbai",Mumbai,100%,(22 votes),₹ 1500 fee
Dr. Nidhi Joshi,Dentist,BDS,9 Years Experience Overall,"Goregaon West, Mumbai",Mumbai,100%,(22 votes),₹ 500 fee
Dr. Sonyabai Sasane,Dentist,BDS,8 Years Experience Overall,"Borivali West, Mumbai",Mumbai,100%,(15 votes),₹ 800 fee
Dr. Tanvi Jha,Dentist,BDS,11 Years Experience Overall,"Chembur, Mumbai",Mumbai,100%,(50 votes),₹ 700 fee
Dr. Juwairia Usmani,Dentist,BDS,1 Year Experience Overall,"Mira Road, Mumbai",Mumbai,100%,(50 votes),₹ 200 fee
Dr. Munira Inamdar,Dentist,BDS,21 Years Experience Overall,"Umerkhadi, Mumbai",Mumbai,90%,(29 votes),₹ 500 fee
Dr. Khushboo Nikhil Kedia,Dentist,BDS,15 Years Experience Overall  (14 years as specialist),"Mulund West, Mumbai",Mumbai,92%,(13 votes),₹ 300 fee
Dr. Ninad Muley,Dentist,BDS,10 Years Experience Overall,"Tardeo, Mumbai",Mumbai,100%,(11 votes),₹ 1000 fee
Dr. Ankita Jadhav,Dentist,BDS,9 Years Experience Overall  (7 years as specialist),"Chembur East, Mumbai",Mumbai,100%,(11 votes),₹ 500 fee
Dr. Chaitali Khona,Dentist,BDS,7 Years Experience Overall,"Mulund West, Mumbai",Mumbai,100%,(11 votes),₹ 500 fee
Dr. Shalaka Phatak,Dentist,BDS,8 Years Experience Overall,"Matunga East, Mumbai",Mumbai,100%,(11 votes),₹ 400 fee
Dr. Sneha Ghodke,Dentist,BDS,6 Years Experience Overall,"Goregaon East, Mumbai",Mumbai,100%,(11 votes),₹ 500 fee
Dr. Rasika Ambekar,Dentist,BDS,6 Years Experience Overall,"Bandra West, Mumbai",Mumbai,100%,(11 votes),₹ 200 fee
Dr. Tanvi Tiwari,Dentist,BDS,12 Years Experience Overall,"Khar West, Mumbai",Mumbai,100%,(11 votes),₹ 500 fee
Dr. Amruta Godbole,Dentist,BDS,19 Years Experience Overall  (18 years as specialist),"Khar West, Mumbai",Mumbai,100%,(11 votes),₹ 750 fee
Dr. Krishna Swaroop Achanta,Dentist,BDS,8 Years Experience Overall,"Padmanabhanagar, Bangalore",Bangalore,100%,(291 votes),₹ 250 fee
Dr. Amrith Kiran Shetty,Dentist,BDS,20 Years Experience Overall,"Banaswadi, Bangalore",Bangalore,96%,(610 votes),₹ 500 fee
Dr. K M Basha,Dentist,BDS,22 Years Experience Overall,"BTM Layout 2nd Stage, Bangalore",Bangalore,94%,(173 votes),₹ 200 fee
Dr. Rajendra Shah,Dentist,BDS,45 Years Experience Overall,"Powai, Mumbai",Mumbai,96%,(84 votes),₹ 200 fee
Dr. Sahil Chheda,Dentist,BDS,13 Years Experience Overall  (12 years as specialist),"Tardeo, Mumbai",Mumbai,100%,(209 votes),₹ 200 fee
Dr. Chaitali G Tejale,Dentist,BDS,13 Years Experience Overall,"Ghatkopar East, Mumbai",Mumbai,100%,(62 votes),₹ 500 fee
Dr. Ekta Doctor,Dentist,BDS,26 Years Experience Overall,"Colaba, Mumbai",Mumbai,100%,(17 votes),₹ 500 fee
Dr. Chitrang Thaker,Dentist,BDS,23 Years Experience Overall,"Goregaon East, Mumbai",Mumbai,97%,(690 votes),₹ 500 fee
Dr. Mohit Solanki,Dentist,BDS,12 Years Experience Overall  (11 years as specialist),"Andheri West, Mumbai",Mumbai,98%,(510 votes),₹ 500 fee
Dr. Syed Saqhib Suhail,Dentist,BDS,13 Years Experience Overall  (12 years as specialist),"Hegde Nagar, Bangalore",Bangalore,97%,(111 votes),₹ 350 fee
Dr. Archana Arora,Dentist,BDS,23 Years Experience Overall,"Vikas Puri, Delhi",Delhi,96%,(234 votes),₹ 500 fee
Dr. Nasreen Akhai,Dentist,BDS,11 Years Experience Overall,"Lower Parel, Mumbai",Mumbai,100%,(46 votes),₹ 300 fee
Dr. Ishwari Bhirud,Dentist,BDS,33 Years Experience Overall  (32 years as specialist),"Andheri East, Mumbai",Mumbai,96%,(182 votes),₹ 500 fee
Dr. Pramod Kumar Pillai,Dentist,BDS,16 Years Experience Overall  (15 years as specialist),"RT Nagar, Bangalore",Bangalore,100%,(188 votes),₹ 400 fee
Dr. Sandhya Bhargav,Dentist,BDS,11 Years Experience Overall  (8 years as specialist),"Vikhroli West, Mumbai",Mumbai,92%,(13 votes),₹ 600 fee
Dr. Achuth M Baliga,Dentist,BDS,47 Years Experience Overall,"Old Airport Road, Bangalore",Bangalore,70%,(54 votes),₹ 600 fee
Dr. Krishna Mohan Rao,Dentist,BDS,19 Years Experience Overall  (18 years as specialist),"Horamavu, Bangalore",Bangalore,96%,(178 votes),₹ 600 fee
Dr. Narayana Amrutha Deepthi,Dentist,BDS,12 Years Experience Overall  (1 year as specialist),"Sahakaranagar, Bangalore",Bangalore,100%,(68 votes),₹ 500 fee
Dr. Kasipathy Kasina,Dentist,BDS,19 Years Experience Overall  (18 years as specialist),"RT Nagar, Bangalore",Bangalore,97%,(72 votes),₹ 500 fee
Dr. Sujay Gopal,Dentist,BDS,16 Years Experience Overall  (15 years as specialist),"Banashankari 3rd Stage, Bangalore",Bangalore,97%,(742 votes),₹ 200 fee
Dr. Zeena Hanif,Dentist,BDS,12 Years Experience Overall  (11 years as specialist),"Nagawara, Bangalore",Bangalore,99%,(181 votes),₹ 300 fee
Dr. Samar Mehtab,Dentist,BDS,11 Years Experience Overall,"Frazer Town, Bangalore",Bangalore,100%,(175 votes),₹ 350 fee
Dr. Shahul Kamal Asif,Dentist,BDS,9 Years Experience Overall,"Frazer Town, Bangalore",Bangalore,100%,(134 votes),₹ 350 fee
Dr. Abhishek Modi,Dentist,BDS,11 Years Experience Overall  (9 years as specialist),"Walkeshwar, Mumbai",Mumbai,100%,(79 votes),₹ 500 fee
Dr. Santosh Nayak,Dentist,BDS,13 Years Experience Overall  (12 years as specialist),"Mahim, Mumbai",Mumbai,99%,(296 votes),₹ 500 fee
Dr. Quazi Wasim Bari,Dentist,BDS,18 Years Experience Overall,"Andheri East, Mumbai",Mumbai,97%,(300 votes),₹ 500 fee
Dr. Deepak Nakra,Dentist,BDS,23 Years Experience Overall,"Punjabi Bagh, Delhi",Delhi,97%,(38 votes),₹ 500 fee
Dr. Laimayum Bageshwor Sharma,Dentist,BDS,11 Years Experience Overall  (6 years as specialist),"Arekere, Bangalore",Bangalore,95%,(40 votes),₹ 1000 fee
Dr. Rajendra Sankpal,Dentist,BDS,31 Years Experience Overall,"Powai, Mumbai",Mumbai,95%,(548 votes),₹ 600 fee
Dr. Pragya Pathak,Dentist,BDS,9 Years Experience Overall  (8 years as specialist),"Indiranagar, Bangalore",Bangalore,98%,(176 votes),₹ 1000 fee
Dr. Dipti Gandhi,Dentist,BDS,39 Years Experience Overall  (38 years as specialist),"Ghatkopar East, Mumbai",Mumbai,98%,(124 votes),₹ 300 fee
Dr. Uday B Shetty,Dentist,BDS,38 Years Experience Overall  (37 years as specialist),"Dadar West, Mumbai",Mumbai,98%,(446 votes),₹ 500 fee
Dr. Amit Chablani,Dentist,BDS,15 Years Experience Overall,"Bandra West, Mumbai",Mumbai,99%,(204 votes),₹ 1000 fee
Dr. Kaushik Gandhi,Dentist,BDS,41 Years Experience Overall  (39 years as specialist),"Sion West, Mumbai",Mumbai,100%,(143 votes),₹ 800 fee
Dr. Shalini Machado,Dentist,BDS,36 Years Experience Overall  (34 years as specialist),"HRBR Layout, Bangalore",Bangalore,96%,(641 votes),₹ 600 fee
Dr. Nitin Kumar,Dentist,BDS,13 Years Experience Overall,"Chattarpur, Delhi",Delhi,100%,(15 votes),₹ 400 fee
Dr. Shabbir Ulla Khan,Dentist,BDS,11 Years Experience Overall  (10 years as specialist),"Jayanagar, Bangalore",Bangalore,98%,(104 votes),₹ 350 fee
Dr. Sharon Colaco Dias,Dentist,MDS,34 Years Experience Overall,"Old Airport Road, Bangalore",Bangalore,96%,(449 votes),₹ 600 fee
Dr. Madhusudhan,Dentist,MDS,25 Years Experience Overall  (24 years as specialist),"Vijayanagar, Bangalore",Bangalore,96%,(221 votes),₹ 300 fee
Dr. Mahesh C.M,Dentist,MDS,28 Years Experience Overall,"Banashankari 3rd Stage, Bangalore",Bangalore,98%,(57 votes),₹ 250 fee
Dr. Chandni Vohra Reddy,Dentist,MDS,15 Years Experience Overall,"BTM Layout 2nd Stage, Bangalore",Bangalore,97%,(100 votes),₹ 200 fee
Dr. Shanmukha B S,Dentist,MDS,18 Years Experience Overall,"Padmanabhanagar, Bangalore",Bangalore,98%,(609 votes),₹ 400 fee
Dr. Rajanikanth B R,Dentist,MDS,24 Years Experience Overall  (23 years as specialist),"Jeevanbhimanagar, Bangalore",Bangalore,98%,(48 votes),₹ 400 fee
Dr. Sharon Abraham,Dentist,MDS,10 Years Experience Overall,"Sahakaranagar, Bangalore",Bangalore,95%,(40 votes),₹ 600 fee
Dr. Nidhi Gupta,Dentist,MDS,23 Years Experience Overall,"New Friends Colony, Delhi",Delhi,99%,(364 votes),₹ 600 fee
Dr. Amit Dania,Dentist,MDS,25 Years Experience Overall,"Lajpat Nagar, Delhi",Delhi,97%,(1480 votes),₹ 500 fee
Dr. Sumit Dubey,Dentist,MDS,20 Years Experience Overall,"Lajpat Nagar, Delhi",Delhi,97%,(229 votes),₹ 600 fee
Dr. Ankur Gupta,Dentist,MDS,18 Years Experience Overall  (17 years as specialist),"Vasant Kunj, Delhi",Delhi,98%,(55 votes),₹ 500 fee
Dr. Gauri Merchant,Dentist,MDS,34 Years Experience Overall,"Girgaon, Mumbai",Mumbai,99%,(162 votes),₹ 2000 fee
Dr. Manjul Jain,Dentist,MDS,27 Years Experience Overall,"Andheri West, Mumbai",Mumbai,98%,(610 votes),₹ 750 fee
Dr. Mohit Bodhwani,Dentist,MDS,13 Years Experience Overall  (12 years as specialist),"Khar West, Mumbai",Mumbai,95%,(66 votes),₹ 500 fee
Dr. K B Shilpashree,Dentist,MDS,21 Years Experience Overall  (15 years as specialist),"JP Nagar 7 Phase, Bangalore",Bangalore,94%,(18 votes),₹ 500 fee
Dr. Shamaz Mohamed,Dentist,MDS,20 Years Experience Overall  (13 years as specialist),"Wilson Garden, Bangalore",Bangalore,100%,(204 votes),₹ 500 fee
Dr. Naveen N,Dentist,MDS,22 Years Experience Overall,"Rajarajeshwarinagar, Bangalore",Bangalore,98%,(201 votes),₹ 300 fee
Dr. Raghu T Narayan,Dentist,MDS,25 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,94%,(198 votes),₹ 500 fee
Dr. B R Adyanthaya,Dentist,MDS,28 Years Experience Overall,"Banaswadi, Bangalore",Bangalore,97%,(129 votes),₹ 300 fee
Dr. Shylesh Shetty,Dentist,MDS,24 Years Experience Overall,"Indiranagar, Bangalore",Bangalore,99%,(1440 votes),₹ 1000 fee
Dr. Pranshu Tripathi,Dentist,MDS,13 Years Experience Overall  (12 years as specialist),"Dwarka Sector 12, Delhi",Delhi,100%,(15 votes),₹ 500 fee
Dr. Priyanka K Kalra,Dentist,MDS,19 Years Experience Overall  (18 years as specialist),"Anand Niketan, Delhi",Delhi,100%,(86 votes),₹ 600 fee
Dr. Gayatri Soin,Dentist,MDS,23 Years Experience Overall  (22 years as specialist),"Old Rajendra Nagar, Delhi",Delhi,98%,(638 votes),₹ 700 fee
Dr. Prasad Rane,Dentist,MDS,22 Years Experience Overall  (21 years as specialist),"Andheri West, Mumbai",Mumbai,99%,(746 votes),₹ 800 fee
Dr. Darshan S Gupte,Dentist,MDS,37 Years Experience Overall  (36 years as specialist),"Kandivali East, Mumbai",Mumbai,100%,(80 votes),₹ 300 fee
Dr. Jayeeta Verma,Dentist,MDS,14 Years Experience Overall,"Chembur, Mumbai",Mumbai,100%,(11 votes),₹ 499 fee
Dr. Pallavi Chanana,Dentist,MDS,13 Years Experience Overall,"Bandra West, Mumbai",Mumbai,100%,(11 votes),₹ 300 fee
Dr. Sunil Rao,Dentist,MDS,27 Years Experience Overall,"Vijayanagar, Bangalore",Bangalore,98%,(382 votes),₹ 500 fee
Dr. J Samuel Santosh,Dentist,MDS,17 Years Experience Overall  (13 years as specialist),"Whitefield, Bangalore",Bangalore,96%,(103 votes),₹ 300 fee
Dr. Rashmi Shetty,Dentist,MDS,18 Years Experience Overall,"Koramangala, Bangalore",Bangalore,99%,(4289 votes),₹ 350 fee
Dr. Ashish Shetty,Dentist,MDS,24 Years Experience Overall  (16 years as specialist),"HSR Layout, Bangalore",Bangalore,96%,(460 votes),₹ 700 fee
Dr. Sunny Soni,Dentist,MDS,12 Years Experience Overall  (8 years as specialist),"Nagawara, Bangalore",Bangalore,99%,(216 votes),₹ 500 fee
Dr. Jaswanth Reddy,Dentist,MDS,17 Years Experience Overall  (16 years as specialist),"Marathahalli, Bangalore",Bangalore,95%,(160 votes),₹ 350 fee
Dr. Abhinav Diwan,Dentist,MDS,24 Years Experience Overall  (23 years as specialist),"Horamavu, Bangalore",Bangalore,99%,(182 votes),₹ 400 fee
Dr. Shaktidar,Dentist,MDS,14 Years Experience Overall,"Jayanagar, Bangalore",Bangalore,99%,(90 votes),₹ 250 fee
Dr. Vikram Shetty K,Dentist,MDS,27 Years Experience Overall  (26 years as specialist),"Jeevanbhimanagar, Bangalore",Bangalore,97%,(32 votes),₹ 500 fee
Dr. Anupama Kiran,Dentist,MDS,24 Years Experience Overall  (15 years as specialist),"Whitefield, Bangalore",Bangalore,100%,(45 votes),₹ 500 fee
Dr. Sindhu Haldal,Dentist,MDS,14 Years Experience Overall,"JP Nagar, Bangalore",Bangalore,99%,(224 votes),₹ 300 fee
Dr. Dinesh,Dentist,MDS,15 Years Experience Overall,"Nandini Layout, Bangalore",Bangalore,95%,(55 votes),₹ 300 fee
Dr. Afna Salam,Dentist,MDS,12 Years Experience Overall,"Varthur, Bangalore",Bangalore,99%,(88 votes),₹ 300 fee
Dr. Rhea Mathew,Dentist,MDS,8 Years Experience Overall  (7 years as specialist),"New BEL Road, Bangalore",Bangalore,97%,(29 votes),₹ 300 fee
Dr. Jaykumar,Dentist,MDS,20 Years Experience Overall  (16 years as specialist),"Koramangala 8 Block, Bangalore",Bangalore,100%,(16 votes),₹ 500 fee
Dr. Kusum Bashetty,Dentist,MDS,20 Years Experience Overall  (19 years as specialist),"Akshaya nagar, Bangalore",Bangalore,99%,(312 votes),₹ 400 fee
Dr. Chandni Gupta Menon,Dentist,MDS,7 Years Experience Overall  (3 years as specialist),"Marathahalli, Bangalore",Bangalore,100%,(21 votes),₹ 200 fee
Dr. Srinivas Panchajanya,Dentist,MDS,20 Years Experience Overall  (19 years as specialist),"JP Nagar 1 Phase, Bangalore",Bangalore,99%,(269 votes),₹ 400 fee
Dr. Mir Sujath Ali,Dentist,MDS,22 Years Experience Overall  (21 years as specialist),"Old Airport Road, Bangalore",Bangalore,98%,(365 votes),₹ 600 fee
Dr. Pratima Krishnamurthy,Dentist,MDS,12 Years Experience Overall,"Nagawara, Bangalore",Bangalore,94%,(48 votes),₹ 500 fee
Dr. Shankar S,Dentist,MDS,10 Years Experience Overall,"Sanjay Nagar, Bangalore",Bangalore,93%,(42 votes),₹ 300 fee
Dr. Remya Premkumar,Dentist,MDS,12 Years Experience Overall,"CV Raman Nagar, Bangalore",Bangalore,100%,(54 votes),₹ 500 fee
Dr. Gouthami Datta,Dentist,MDS,9 Years Experience Overall  (8 years as specialist),"Kanakpura Road, Bangalore",Bangalore,100%,(22 votes),₹ 300 fee
Dr. Divya V,Dentist,MDS,11 Years Experience Overall  (10 years as specialist),"Bommasandra, Bangalore",Bangalore,98%,(127 votes),₹ 300 fee
Dr. Sudhanva Mallandur,Dentist,MDS,19 Years Experience Overall  (17 years as specialist),"Sarjapur Road, Bangalore",Bangalore,99%,(173 votes),₹ 300 fee
Dr. Arya Madhurkar,Dentist,MDS,8 Years Experience Overall  (7 years as specialist),"Banashankari 2nd Stage, Bangalore",Bangalore,95%,(21 votes),₹ 400 fee
Dr. Sinita Pauline Roberts,Dentist,MDS,5 Years Experience Overall,"HSR Layout, Bangalore",Bangalore,97%,(129 votes),₹ 550 fee
Dr. Nishita Reddy,Dentist,MDS,4 Years Experience Overall,"Kalyan Nagar, Bangalore",Bangalore,100%,(13 votes),₹ 300 fee
Dr. Suman Makam,Dentist,MDS,24 Years Experience Overall  (23 years as specialist),"Jayanagar 5 Block, Bangalore",Bangalore,96%,(49 votes),₹ 400 fee
Dr. Shobha Nangrani,Dentist,MDS,20 Years Experience Overall  (19 years as specialist),"Brookefield, Bangalore",Bangalore,93%,(582 votes),₹ 400 fee
Dr. Kamal Odedra,Dentist,MDS,12 Years Experience Overall  (11 years as specialist),"Marathahalli, Bangalore",Bangalore,100%,(37 votes),₹ 550 fee
Dr. M S Vishwas,Dentist,MDS,24 Years Experience Overall  (23 years as specialist),"Hebbal Kempapura, Bangalore",Bangalore,100%,(37 votes),₹ 300 fee
Dr. Deepak Nath,Dentist,MDS,32 Years Experience Overall  (31 years as specialist),"JP Nagar, Bangalore",Bangalore,94%,(386 votes),₹ 300 fee
Dr. Anita Mishra,Dentist,MDS,13 Years Experience Overall,"Mathikere - BEL, Bangalore",Bangalore,100%,(208 votes),₹ 300 fee
Dr. Amitha. M,Dentist,MDS,19 Years Experience Overall  (16 years as specialist),"Whitefield, Bangalore",Bangalore,91%,(33 votes),₹ 200 fee
Dr. Sowmya,Dentist,MDS,13 Years Experience Overall  (10 years as specialist),"Gubbalala, Bangalore",Bangalore,97%,(31 votes),₹ 200 fee
Dr. Sarath Chandra,Dentist,MDS,15 Years Experience Overall  (14 years as specialist),"Munnekollal, Bangalore",Bangalore,95%,(106 votes),₹ 200 fee
